Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Aquisição de outros bens - Pré-fixado;SINOSSERRA S/A - SCFI;0,21;2,60
2;Pessoa Física;Aquisição de outros bens - Pré-fixado;STARA FINANCEIRA S.A. - CFI;0,94;11,83
3;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO DE LAGE LANDEN BRASIL S.A.;1,00;12,71
4;Pessoa Física;Aquisição de outros bens - Pré-fixado;BANCO SICOOB S.A.;1,31;16,87
5;Pessoa Física;Aquisição de outros bens - Pré-fixado;FINANC ALFA S.A. CFI;1,34;17,31
6;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO SANTANDER (BRASIL) S.A.;1,38;17,90
7;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO VOLKSWAGEN S.A;1,38;17,91
8;Pessoa Física;Aquisição de outros bens - Pré-fixado;BANCO CNH INDUSTRIAL CAPITAL S.A;1,48;19,29
9;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO DO EST. DO PA S.A.;1,52;19,90
10;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO DO ESTADO DO RS S.A.;1,61;21,09
11;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO BANESTES S.A.;1,72;22,68
12;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO BRADESCO S.A.;1,76;23,27
13;Pessoa Física;Aquisição de outros bens - Pré-fixado;AYMORÉ CFI S.A.;1,79;23,72
14;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO VOLVO BRASIL S.A.;1,80;23,93
15;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO VOTORANTIM S.A.;2,02;27,13
16;Pessoa Física;Aquisição de outros bens - Pré-fixado;TODESCREDI S/A - CFI;2,07;27,85
17;Pessoa Física;Aquisição de outros bens - Pré-fixado;PINTOS S.A. CFI;2,08;27,97
18;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO BRASILEIRO DE CRÉDITO S.A.;2,15;29,09
19;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO DO BRASIL S.A.;2,17;29,31
20;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO SENFF S.A.;2,50;34,56
21;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO RENDIMENTO S.A.;3,54;51,75
22;Pessoa Física;Aquisição de outros bens - Pré-fixado;KREDILIG S.A. - CFI;3,89;58,02
23;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO BRADESCO FINANC. S.A.;3,94;58,94
24;Pessoa Física;Aquisição de outros bens - Pré-fixado;BCO HONDA S.A.;4,24;64,56
25;Pessoa Física;Aquisição de outros bens - Pré-fixado;HS FINANCEIRA;4,33;66,36
26;Pessoa Física;Aquisição de outros bens - Pré-fixado;CENTROCRED S.A. CFI;4,37;67,06
27;Pessoa Física;Aquisição de outros bens - Pré-fixado;BECKER FINANCEIRA SA - CFI;4,66;72,69
28;Pessoa Física;Aquisição de outros bens - Pré-fixado;CREDIARE CFI S.A.;4,97;78,92
29;Pessoa Física;Aquisição de outros bens - Pré-fixado;OMNI BANCO S.A.;5,51;90,26
30;Pessoa Física;Aquisição de outros bens - Pré-fixado;VIA CERTA FINANCIADORA S.A. - CFI;5,75;95,50
31;Pessoa Física;Aquisição de outros bens - Pré-fixado;BANCO INTER;6,07;102,88
32;Pessoa Física;Aquisição de outros bens - Pré-fixado;NEGRESCO S.A. - CFI;6,63;116,02
33;Pessoa Física;Aquisição de outros bens - Pré-fixado;MERCADO CRÉDITO SCFI S.A.;7,02;125,80
34;Pessoa Física;Aquisição de outros bens - Pré-fixado;ZEMA CFI S/A;7,04;126,30
35;Pessoa Física;Aquisição de outros bens - Pré-fixado;GAZINCRED S.A. SCFI;7,04;126,32
36;Pessoa Física;Aquisição de outros bens - Pré-fixado;BANCO SEMEAR;7,09;127,52
37;Pessoa Física;Aquisição de outros bens - Pré-fixado;AGORACRED S/A SCFI;7,71;143,78
